,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
1971-06-25,2600.320068359375,2600.320068359375,2600.320068359375,2600.320068359375,2600.320068359375,0.0,^N225,2499.3223,2670.8798828125,-100.997802734375,0.0
1971-07-08,2638.739990234375,2638.739990234375,2638.739990234375,2638.739990234375,2638.739990234375,0.0,^N225,2544.1785,2683.239990234375,-94.5615234375,0.0
1971-07-09,2659.570068359375,2659.570068359375,2659.570068359375,2659.570068359375,2659.570068359375,0.0,^N225,2548.72,2661.5900878906255,-110.85009765625,0.0
1971-07-16,2670.8798828125,2670.8798828125,2670.8798828125,2670.8798828125,2670.8798828125,0.0,^N225,2584.5464,2648.530029296875,0.0,86.33349609375
1971-07-27,2678.0,2678.0,2678.0,2678.0,2678.0,0.0,^N225,2592.9253,2440.820068359375,0.0,85.07470703125
1971-08-12,2704.89990234375,2704.89990234375,2704.89990234375,2704.89990234375,2704.89990234375,0.0,^N225,2593.0396,2352.27001953125,0.0,111.8603515625
1971-08-16,2530.47998046875,2530.47998046875,2530.47998046875,2530.47998046875,2530.47998046875,0.0,^N225,2593.4436,2365.5800781249995,0.0,-62.963623046875
1971-08-18,2328.280029296875,2328.280029296875,2328.280029296875,2328.280029296875,2328.280029296875,0.0,^N225,2517.3108,2325.5200195312505,0.0,-189.03076171875
1971-08-20,2283.8798828125,2283.8798828125,2283.8798828125,2283.8798828125,2283.8798828125,0.0,^N225,2386.683,2321.7900390624995,102.80322265625,0.0
1971-08-24,2162.820068359375,2162.820068359375,2162.820068359375,2162.820068359375,2162.820068359375,0.0,^N225,2257.5955,2364.6499023437495,94.775390625,0.0
1971-08-27,2267.18994140625,2267.18994140625,2267.18994140625,2267.18994140625,2267.18994140625,0.0,^N225,2186.4165,2352.31005859375,-80.7734375,0.0
1971-09-03,2346.77001953125,2346.77001953125,2346.77001953125,2346.77001953125,2346.77001953125,0.0,^N225,2178.5193,2363.969970703125,-168.250732421875,0.0
1971-09-06,2365.580078125,2365.580078125,2365.580078125,2365.580078125,2365.580078125,0.0,^N225,2191.9143,2351.9599609375,0.0,173.665771484375
1971-09-07,2341.72998046875,2341.72998046875,2341.72998046875,2341.72998046875,2341.72998046875,0.0,^N225,2203.961,2393.56005859375,-137.76904296875,0.0
1971-09-08,2325.52001953125,2325.52001953125,2325.52001953125,2325.52001953125,2325.52001953125,0.0,^N225,2212.5625,2420.360107421875,-112.95751953125,0.0
1971-09-10,2321.7900390625,2321.7900390625,2321.7900390625,2321.7900390625,2321.7900390625,0.0,^N225,2224.386,2429.31005859375,-97.404052734375,0.0
1971-09-21,2372.989990234375,2372.989990234375,2372.989990234375,2372.989990234375,2372.989990234375,0.0,^N225,2250.2266,2352.60009765625,0.0,122.763427734375
1971-10-06,2401.969970703125,2401.969970703125,2401.969970703125,2401.969970703125,2401.969970703125,0.0,^N225,2312.1147,2229.35009765625,0.0,89.855224609375
1971-10-07,2401.679931640625,2401.679931640625,2401.679931640625,2401.679931640625,2401.679931640625,0.0,^N225,2313.4602,2253.280029296875,0.0,88.2197265625
1971-10-15,2254.93994140625,2254.93994140625,2254.93994140625,2254.93994140625,2254.93994140625,0.0,^N225,2270.6833,2234.110107421875,0.0,-15.743408203125
1971-10-29,2278.4599609375,2278.4599609375,2278.4599609375,2278.4599609375,2278.4599609375,0.0,^N225,2142.0962,2378.7900390625,-136.36376953125,0.0
1971-11-22,2408.110107421875,2408.110107421875,2408.110107421875,2408.110107421875,2408.110107421875,0.0,^N225,2249.8696,2496.719970703125,-158.240478515625,0.0
1971-11-25,2418.679931640625,2418.679931640625,2418.679931640625,2418.679931640625,2418.679931640625,0.0,^N225,2279.2588,2468.110107421875,-139.421142578125,0.0
1971-12-03,2441.580078125,2441.580078125,2441.580078125,2441.580078125,2441.580078125,0.0,^N225,2336.086,2658.7099609375,-105.494140625,0.0
1971-12-08,2453.68994140625,2453.68994140625,2453.68994140625,2453.68994140625,2453.68994140625,0.0,^N225,2361.7437,2713.739990234375,-91.9462890625,0.0
