,adjclose
2016-04-08,15821.51953125
2016-04-11,15751.1298828125
2016-04-12,15928.7900390625
2016-04-13,16381.2197265625
2016-04-14,16911.05078125
2016-04-15,16848.029296875
2016-04-18,16275.9501953125
2016-04-19,16874.439453125
2016-04-20,16906.5390625
2016-04-21,17363.619140625
2016-04-22,17572.490234375
2016-04-25,17439.30078125
2016-04-26,17353.279296875
2016-04-27,17290.490234375
2016-04-28,16666.05078125
2016-05-02,16147.3798828125
2016-05-06,16106.7197265625
2016-05-09,16216.0302734375
2016-05-10,16565.189453125
2016-05-11,16579.009765625
2016-05-12,16646.33984375
2016-05-13,16412.2109375
2016-05-16,16466.400390625
2016-05-17,16652.80078125
2016-05-18,16644.689453125
2016-05-19,16646.66015625
2016-05-20,16736.349609375
2016-05-23,16654.599609375
2016-05-24,16498.759765625
2016-05-25,16757.349609375
2016-05-26,16772.4609375
2016-05-27,16834.83984375
2016-05-30,17068.01953125
2016-05-31,17234.98046875
2016-06-01,16955.73046875
2016-06-02,16562.55078125
2016-06-03,16642.23046875
2016-06-06,16580.029296875
2016-06-07,16675.44921875
2016-06-08,16830.919921875
2016-06-09,16668.41015625
2016-06-10,16601.359375
2016-06-13,16019.1796875
2016-06-14,15859.0
2016-06-15,15919.580078125
2016-06-16,15434.1396484375
2016-06-17,15599.66015625
2016-06-20,15965.2998046875
2016-06-21,16169.1103515625
2016-06-22,16065.7197265625
2016-06-23,16238.349609375
2016-06-24,14952.01953125
2016-06-27,15309.2099609375
2016-06-28,15323.1396484375
2016-06-29,15566.830078125
2016-06-30,15575.919921875
2016-07-01,15682.48046875
2016-07-04,15775.7998046875
2016-07-05,15669.330078125
2016-07-06,15378.990234375
2016-07-07,15276.240234375
2016-07-08,15106.98046875
2016-07-11,15708.8203125
2016-07-12,16095.650390625
2016-07-13,16231.4296875
2016-07-14,16385.890625
2016-07-15,16497.849609375
2016-07-19,16723.310546875
2016-07-20,16681.890625
2016-07-21,16810.220703125
2016-07-22,16627.25
2016-07-25,16620.2890625
2016-07-26,16383.0400390625
2016-07-27,16664.8203125
2016-07-28,16476.83984375
2016-07-29,16569.26953125
2016-08-01,16635.76953125
2016-08-02,16391.44921875
2016-08-03,16083.1103515625
2016-08-04,16254.8896484375
2016-08-05,16254.4501953125
2016-08-08,16650.5703125
2016-08-09,16764.970703125
2016-08-10,16735.119140625
2016-08-12,16919.919921875
2016-08-15,16869.560546875
2016-08-16,16596.509765625
2016-08-17,16745.640625
2016-08-18,16486.009765625
2016-08-19,16545.8203125
2016-08-22,16598.189453125
2016-08-23,16497.359375
2016-08-24,16597.30078125
2016-08-25,16555.94921875
2016-08-26,16360.7099609375
2016-08-29,16737.490234375
2016-08-30,16725.359375
2016-08-31,16887.400390625
2016-09-01,16926.83984375
2016-09-02,16925.6796875
2016-09-05,17037.630859375
2016-09-06,17081.98046875
2016-09-07,17012.439453125
2016-09-08,16958.76953125
2016-09-09,16965.759765625
2016-09-12,16672.919921875
2016-09-13,16729.0390625
2016-09-14,16614.240234375
2016-09-15,16405.009765625
2016-09-16,16519.2890625
2016-09-20,16492.150390625
2016-09-21,16807.619140625
2016-09-23,16754.01953125
2016-09-26,16544.560546875
2016-09-27,16683.9296875
2016-09-28,16465.400390625
2016-09-29,16693.7109375
2016-09-30,16449.83984375
2016-10-03,16598.669921875
2016-10-04,16735.650390625
2016-10-05,16819.240234375
2016-10-06,16899.099609375
2016-10-07,16860.08984375
2016-10-11,17024.759765625
2016-10-12,16840.0
2016-10-13,16774.240234375
2016-10-14,16856.369140625
2016-10-17,16900.119140625
2016-10-18,16963.609375
2016-10-19,16998.91015625
2016-10-20,17235.5
2016-10-21,17184.58984375
2016-10-24,17234.419921875
2016-10-25,17365.25
2016-10-26,17391.83984375
2016-10-27,17336.419921875
2016-10-28,17446.41015625
2016-10-31,17425.01953125
2016-11-01,17442.400390625
2016-11-02,17134.6796875
2016-11-04,16905.359375
2016-11-07,17177.2109375
2016-11-08,17171.380859375
2016-11-09,16251.5400390625
2016-11-10,17344.419921875
2016-11-11,17374.7890625
2016-11-14,17672.619140625
2016-11-15,17668.150390625
2016-11-16,17862.2109375
2016-11-17,17862.630859375
2016-11-18,17967.41015625
2016-11-21,18106.01953125
2016-11-22,18162.939453125
2016-11-24,18333.41015625
2016-11-25,18381.220703125
2016-11-28,18356.890625
2016-11-29,18307.0390625
2016-11-30,18308.48046875
2016-12-01,18513.119140625
2016-12-02,18426.080078125
2016-12-05,18274.990234375
2016-12-06,18360.5390625
2016-12-07,18496.689453125
2016-12-08,18765.470703125
2016-12-09,18996.369140625
2016-12-12,19155.029296875
2016-12-13,19250.51953125
2016-12-14,19253.609375
2016-12-15,19273.7890625
2016-12-16,19401.150390625
2016-12-19,19391.599609375
2016-12-20,19494.529296875
2016-12-21,19444.490234375
2016-12-22,19427.669921875
2016-12-26,19396.640625
2016-12-27,19403.060546875
2016-12-28,19401.720703125
2016-12-29,19145.140625
2016-12-30,19114.369140625
2017-01-04,19594.16015625
2017-01-05,19520.689453125
2017-01-06,19454.330078125
2017-01-10,19301.439453125
2017-01-11,19364.669921875
2017-01-12,19134.69921875
2017-01-13,19287.279296875
2017-01-16,19095.240234375
2017-01-17,18813.529296875
2017-01-18,18894.369140625
2017-01-19,19072.25
2017-01-20,19137.91015625
2017-01-23,18891.029296875
2017-01-24,18787.990234375
2017-01-25,19057.5
2017-01-26,19402.390625
2017-01-27,19467.400390625
2017-01-30,19368.849609375
2017-01-31,19041.33984375
2017-02-01,19148.080078125
2017-02-02,18914.580078125
2017-02-03,18918.19921875
2017-02-06,18976.7109375
2017-02-07,18910.779296875
2017-02-08,19007.599609375
2017-02-09,18907.669921875
2017-02-10,19378.9296875
2017-02-13,19459.150390625
2017-02-14,19238.98046875
2017-02-15,19437.98046875
2017-02-16,19347.529296875
2017-02-17,19234.619140625
2017-02-20,19251.080078125
2017-02-21,19381.439453125
2017-02-22,19379.869140625
2017-02-23,19371.4609375
2017-02-24,19283.5390625
2017-02-27,19107.470703125
2017-02-28,19118.990234375
2017-03-01,19393.5390625
2017-03-02,19564.80078125
2017-03-03,19469.169921875
2017-03-06,19379.140625
2017-03-07,19344.150390625
2017-03-08,19254.029296875
2017-03-09,19318.580078125
2017-03-10,19604.609375
2017-03-13,19633.75
2017-03-14,19609.5
2017-03-15,19577.380859375
2017-03-16,19590.140625
2017-03-17,19521.58984375
2017-03-21,19455.880859375
2017-03-22,19041.380859375
2017-03-23,19085.310546875
2017-03-24,19262.529296875
2017-03-27,18985.58984375
2017-03-28,19202.869140625
2017-03-29,19217.48046875
2017-03-30,19063.220703125
2017-03-31,18909.259765625
2017-04-03,18983.23046875
2017-04-04,18810.25
2017-04-05,18861.26953125
2017-04-06,18597.060546875
2017-04-07,18664.630859375
2017-04-10,18797.880859375
2017-04-11,18747.869140625
2017-04-12,18552.609375
2017-04-13,18426.83984375
2017-04-14,18335.630859375
2017-04-17,18355.259765625
2017-04-18,18418.58984375
2017-04-19,18432.19921875
2017-04-20,18430.490234375
2017-04-21,18620.75
2017-04-24,18875.880859375
2017-04-25,19079.330078125
2017-04-26,19289.4296875
2017-04-27,19251.869140625
2017-04-28,19196.740234375
2017-05-01,19310.51953125
2017-05-02,19445.69921875
2017-05-08,19895.69921875
2017-05-09,19843.0
2017-05-10,19900.08984375
2017-05-11,19961.55078125
2017-05-12,19883.900390625
2017-05-15,19869.849609375
2017-05-16,19919.8203125
2017-05-17,19814.880859375
2017-05-18,19553.859375
2017-05-19,19590.759765625
2017-05-22,19678.279296875
2017-05-23,19613.279296875
2017-05-24,19742.98046875
2017-05-25,19813.130859375
2017-05-26,19686.83984375
2017-05-29,19682.5703125
2017-05-30,19677.849609375
2017-05-31,19650.5703125
2017-06-01,19860.029296875
2017-06-02,20177.279296875
2017-06-05,20170.8203125
2017-06-06,19979.900390625
2017-06-07,19984.619140625
2017-06-08,19909.259765625
2017-06-09,20013.259765625
2017-06-12,19908.580078125
2017-06-13,19898.75
2017-06-14,19883.51953125
2017-06-15,19831.8203125
2017-06-16,19943.259765625
2017-06-19,20067.75
2017-06-20,20230.41015625
2017-06-21,20138.7890625
2017-06-22,20110.509765625
2017-06-23,20132.669921875
2017-06-26,20153.349609375
2017-06-27,20225.08984375
2017-06-28,20130.41015625
2017-06-29,20220.30078125
2017-06-30,20033.4296875
2017-07-03,20055.80078125
2017-07-04,20032.349609375
2017-07-05,20081.630859375
2017-07-06,19994.060546875
2017-07-07,19929.08984375
2017-07-10,20080.98046875
2017-07-11,20195.48046875
2017-07-12,20098.380859375
2017-07-13,20099.810546875
2017-07-18,19999.91015625
2017-07-19,20020.859375
2017-07-20,20144.58984375
2017-07-21,20099.75
2017-07-24,19975.669921875
2017-07-25,19955.19921875
2017-07-26,20050.16015625
2017-07-27,20079.640625
2017-07-28,19959.83984375
2017-07-31,19925.1796875
2017-08-01,19985.7890625
2017-08-02,20080.0390625
2017-08-03,20029.259765625
2017-08-04,19952.330078125
2017-08-07,20055.890625
2017-08-08,19996.009765625
2017-08-09,19738.7109375
2017-08-10,19729.740234375
2017-08-11,19729.740234375
2017-08-14,19537.099609375
2017-08-15,19753.310546875
2017-08-16,19729.279296875
2017-08-17,19702.630859375
2017-08-18,19470.41015625
2017-08-21,19393.130859375
2017-08-22,19383.83984375
2017-08-23,19434.640625
2017-08-24,19353.76953125
2017-08-25,19452.609375
2017-08-28,19449.900390625
2017-08-29,19362.55078125
2017-08-30,19506.5390625
2017-08-31,19646.240234375
2017-09-01,19691.470703125
2017-09-04,19508.25
2017-09-05,19385.810546875
2017-09-06,19357.970703125
2017-09-07,19396.51953125
2017-09-08,19274.8203125
2017-09-11,19545.76953125
2017-09-12,19776.619140625
2017-09-13,19865.8203125
2017-09-14,19807.439453125
2017-09-19,20299.380859375
2017-09-20,20310.4609375
2017-09-21,20347.48046875
2017-09-22,20296.44921875
2017-09-25,20397.580078125
2017-09-26,20330.189453125
2017-09-27,20267.05078125
2017-09-28,20363.109375
2017-09-29,20356.279296875
2017-10-02,20400.779296875
2017-10-03,20614.0703125
2017-10-04,20626.66015625
2017-10-05,20628.560546875
2017-10-10,20823.509765625
2017-10-11,20881.26953125
2017-10-12,20954.720703125
2017-10-13,21155.1796875
2017-10-16,21255.560546875
2017-10-17,21336.119140625
2017-10-18,21363.05078125
2017-10-19,21448.51953125
2017-10-20,21457.640625
2017-10-23,21696.650390625
2017-10-24,21805.169921875
2017-10-25,21707.619140625
2017-10-26,21739.779296875
2017-10-27,22008.44921875
2017-10-30,22011.669921875
2017-10-31,22011.609375
2017-11-01,22420.080078125
2017-11-02,22539.119140625
2017-11-03,22539.119140625
2017-11-06,22548.349609375
2017-11-07,22937.599609375
2017-11-08,22913.8203125
2017-11-09,22868.7109375
2017-11-10,22681.419921875
2017-11-13,22380.990234375
2017-11-14,22380.009765625
2017-11-15,22028.3203125
2017-11-16,22351.119140625
2017-11-17,22396.80078125
2017-11-20,22261.759765625
2017-11-21,22416.48046875
2017-11-24,22550.849609375
2017-11-27,22495.990234375
2017-11-28,22486.240234375
2017-11-29,22597.19921875
2017-11-30,22724.9609375
2017-12-01,22819.029296875
2017-12-04,22707.16015625
2017-12-05,22622.380859375
2017-12-06,22177.0390625
2017-12-07,22498.029296875
2017-12-08,22811.080078125
2017-12-11,22938.73046875
2017-12-12,22866.169921875
2017-12-13,22758.0703125
2017-12-14,22694.44921875
2017-12-15,22553.220703125
2017-12-18,22901.76953125
2017-12-19,22868.0
2017-12-20,22891.720703125
2017-12-21,22866.099609375
2017-12-22,22902.759765625
2017-12-25,22939.1796875
2017-12-26,22892.689453125
2017-12-27,22911.2109375
2017-12-28,22783.98046875
2018-01-04,23506.330078125
2018-01-09,23849.990234375
2018-01-10,23788.19921875
2018-01-11,23710.4296875
2018-01-12,23653.8203125
2018-01-15,23714.880859375
2018-01-16,23951.810546875
2018-01-17,23868.33984375
2018-01-18,23763.369140625
2018-01-19,23808.060546875
2018-01-22,23816.330078125
2018-01-23,24124.150390625
2018-01-24,23940.779296875
2018-01-25,23669.490234375
2018-01-26,23631.880859375
2018-01-29,23629.33984375
2018-01-30,23291.970703125
2018-01-31,23098.2890625
2018-02-01,23486.109375
2018-02-02,23274.529296875
2018-02-05,22682.080078125
2018-02-06,21610.240234375
2018-02-07,21645.369140625
2018-02-08,21890.859375
2018-02-13,21244.6796875
2018-02-14,21154.169921875
2018-02-15,21464.98046875
2018-02-16,21720.25
2018-02-19,22149.2109375
2018-02-20,21925.099609375
2018-02-21,21970.810546875
2018-02-22,21736.439453125
2018-02-23,21892.779296875
2018-02-26,22153.630859375
2018-02-27,22389.859375
2018-02-28,22068.240234375
2018-03-01,21724.470703125
2018-03-02,21181.640625
2018-03-05,21042.08984375
2018-03-06,21417.759765625
2018-03-07,21252.720703125
2018-03-08,21368.0703125
2018-03-09,21469.19921875
2018-03-12,21824.029296875
2018-03-13,21968.099609375
2018-03-14,21777.2890625
2018-03-15,21803.94921875
2018-03-16,21676.509765625
2018-03-19,21480.900390625
2018-03-22,21591.990234375
2018-03-23,20617.859375
2018-03-26,20766.099609375
2018-03-27,21317.3203125
2018-03-28,21031.310546875
2018-03-29,21159.080078125
2018-03-30,21454.30078125
2018-04-02,21388.580078125
2018-04-03,21292.2890625
2018-04-04,21319.55078125
2018-04-05,21645.419921875
2018-04-06,21567.51953125
2018-04-09,21678.259765625
2018-04-10,21794.3203125
2018-04-11,21687.099609375
2018-04-12,21660.279296875
2018-04-13,21778.740234375
2018-04-16,21835.529296875
2018-04-17,21847.58984375
2018-04-18,22158.19921875
2018-04-19,22191.1796875
2018-04-20,22162.240234375
2018-04-23,22088.0390625
2018-04-24,22278.119140625
2018-04-25,22215.3203125
2018-04-26,22319.609375
2018-05-01,22508.029296875
2018-05-07,22467.16015625
2018-05-08,22508.689453125
2018-05-09,22408.880859375
2018-05-10,22497.1796875
2018-05-11,22758.48046875
2018-05-14,22865.859375
2018-05-15,22818.01953125
2018-05-16,22717.23046875
2018-05-17,22838.369140625
2018-05-18,22930.359375
2018-05-21,23002.369140625
2018-05-22,22960.33984375
2018-05-23,22689.740234375
2018-05-24,22437.009765625
2018-05-25,22450.7890625
2018-05-28,22481.08984375
2018-05-29,22358.4296875
2018-05-30,22018.51953125
2018-05-31,22201.8203125
2018-06-01,22171.349609375
2018-06-04,22475.939453125
2018-06-05,22539.5390625
2018-06-06,22625.73046875
2018-06-07,22823.259765625
2018-06-08,22694.5
2018-06-11,22804.0390625
2018-06-12,22878.349609375
2018-06-13,22966.380859375
2018-06-14,22738.609375
2018-06-15,22851.75
2018-06-18,22680.330078125
2018-06-19,22278.48046875
2018-06-20,22555.4296875
2018-06-21,22693.0390625
2018-06-22,22516.830078125
2018-06-25,22338.150390625
2018-06-26,22342.0
2018-06-27,22271.76953125
2018-06-28,22270.390625
2018-06-29,22304.509765625
2018-07-02,21811.9296875
2018-07-03,21785.5390625
2018-07-04,21717.0390625
2018-07-05,21546.990234375
2018-07-06,21788.140625
2018-07-09,22052.1796875
2018-07-10,22196.890625
2018-07-11,21932.2109375
2018-07-12,22187.9609375
2018-07-13,22597.349609375
2018-07-16,22597.349609375
2018-07-17,22697.359375
2018-07-18,22794.189453125
2018-07-19,22764.6796875
2018-07-20,22697.880859375
2018-07-23,22396.990234375
2018-07-24,22510.48046875
2018-07-25,22614.25
2018-07-26,22586.869140625
2018-07-27,22712.75
2018-07-30,22544.83984375
2018-07-31,22553.720703125
2018-08-01,22746.69921875
2018-08-02,22512.529296875
2018-08-03,22525.1796875
2018-08-06,22507.3203125
2018-08-07,22662.740234375
2018-08-08,22644.310546875
2018-08-09,22598.390625
2018-08-10,22298.080078125
2018-08-13,21857.4296875
2018-08-14,22356.080078125
2018-08-15,22204.220703125
2018-08-16,22192.0390625
2018-08-17,22270.380859375
2018-08-20,22199.0
2018-08-21,22219.73046875
2018-08-22,22362.55078125
2018-08-23,22410.8203125
2018-08-24,22601.76953125
2018-08-27,22799.640625
2018-08-28,22813.470703125
2018-08-29,22848.220703125
2018-08-30,22869.5
2018-08-31,22865.150390625
2018-09-03,22707.380859375
2018-09-04,22696.900390625
2018-09-05,22580.830078125
2018-09-06,22487.939453125
2018-09-07,22307.060546875
2018-09-10,22373.08984375
2018-09-11,22664.689453125
2018-09-12,22604.609375
2018-09-13,22821.3203125
2018-09-18,23420.5390625
2018-09-19,23672.51953125
2018-09-20,23674.9296875
2018-09-25,23940.259765625
2018-09-26,24033.7890625
2018-09-27,23796.740234375
2018-09-28,24120.0390625
2018-10-01,24245.759765625
2018-10-02,24270.619140625
2018-10-03,24110.9609375
2018-10-04,23975.619140625
2018-10-09,23469.390625
2018-10-10,23506.0390625
2018-10-11,22590.859375
2018-10-12,22694.66015625
2018-10-15,22271.30078125
2018-10-16,22549.240234375
2018-10-17,22841.119140625
2018-10-18,22658.16015625
2018-10-19,22532.080078125
2018-10-22,22614.8203125
2018-10-23,22010.779296875
2018-10-24,22091.1796875
2018-10-25,21268.73046875
2018-10-26,21184.599609375
2018-10-29,21149.80078125
2018-10-30,21457.2890625
2018-10-31,21920.4609375
2018-11-01,21687.650390625
2018-11-02,22243.66015625
2018-11-05,21898.990234375
2018-11-06,22147.75
2018-11-07,22085.80078125
2018-11-08,22486.919921875
2018-11-09,22250.25
2018-11-12,22269.880859375
2018-11-13,21810.51953125
2018-11-14,21846.48046875
2018-11-15,21803.619140625
2018-11-16,21680.33984375
2018-11-19,21821.16015625
2018-11-20,21583.119140625
2018-11-21,21507.5390625
2018-11-26,21812.0
2018-11-27,21952.400390625
2018-11-28,22177.01953125
2018-11-29,22262.599609375
2018-11-30,22351.060546875
2018-12-03,22574.759765625
2018-12-04,22036.05078125
2018-12-05,21919.330078125
2018-12-06,21501.619140625
2018-12-07,21678.6796875
2018-12-10,21219.5
2018-12-11,21148.01953125
2018-12-12,21602.75
2018-12-13,21816.189453125
2018-12-14,21374.830078125
2018-12-17,21506.880859375
2018-12-18,21115.44921875
2018-12-19,20987.919921875
2018-12-20,20392.580078125
2018-12-25,19155.740234375
2018-12-26,19327.060546875
2018-12-27,20077.619140625
2019-01-04,19561.9609375
2019-01-07,20038.970703125
2019-01-08,20204.0390625
2019-01-09,20427.060546875
2019-01-10,20163.80078125
2019-01-11,20359.69921875
2019-01-15,20555.2890625
2019-01-16,20442.75
2019-01-17,20402.26953125
2019-01-18,20666.0703125
2019-01-21,20719.330078125
2019-01-22,20622.91015625
2019-01-23,20593.720703125
2019-01-24,20574.630859375
2019-01-25,20773.560546875
2019-01-28,20649.0
2019-01-29,20664.640625
2019-01-30,20556.5390625
2019-01-31,20773.490234375
2019-02-01,20788.390625
2019-02-04,20883.76953125
2019-02-05,20844.44921875
2019-02-06,20874.060546875
2019-02-07,20751.279296875
2019-02-08,20333.169921875
2019-02-12,20864.2109375
2019-02-13,21144.48046875
2019-02-14,21139.7109375
2019-02-15,20900.630859375
2019-02-18,21281.849609375
2019-02-19,21302.650390625
2019-02-20,21431.490234375
2019-02-21,21464.23046875
2019-02-22,21425.509765625
2019-02-25,21528.23046875
2019-02-26,21449.390625
2019-02-27,21556.509765625
2019-02-28,21385.16015625
2019-03-01,21602.689453125
2019-03-04,21822.0390625
2019-03-05,21726.279296875
2019-03-06,21596.810546875
2019-03-07,21456.009765625
2019-03-08,21025.560546875
2019-03-11,21125.08984375
2019-03-12,21503.689453125
2019-03-13,21290.240234375
2019-03-14,21287.01953125
2019-03-15,21450.849609375
2019-03-18,21584.5
2019-03-19,21566.849609375
2019-03-20,21608.919921875
2019-03-22,21627.33984375
2019-03-25,20977.109375
2019-03-26,21428.390625
2019-03-27,21378.73046875
2019-03-28,21033.759765625
2019-03-29,21205.810546875
2019-04-01,21509.029296875
2019-04-02,21505.310546875
2019-04-03,21713.2109375
2019-04-04,21724.94921875
2019-04-05,21807.5
2019-04-08,21761.650390625
2019-04-09,21802.58984375
2019-04-10,21687.5703125
2019-04-11,21711.380859375
2019-04-12,21870.560546875
2019-04-15,22169.109375
2019-04-16,22221.66015625
2019-04-17,22277.970703125
2019-04-18,22090.119140625
2019-04-19,22200.560546875
2019-04-22,22217.900390625
2019-04-23,22259.740234375
2019-04-24,22200.0
2019-04-25,22307.580078125
2019-04-26,22258.73046875
2019-05-07,21923.720703125
2019-05-08,21602.58984375
2019-05-09,21402.130859375
2019-05-10,21344.919921875
2019-05-13,21191.279296875
2019-05-14,21067.23046875
2019-05-15,21188.560546875
2019-05-16,21062.98046875
2019-05-17,21250.08984375
2019-05-20,21301.73046875
2019-05-21,21272.44921875
2019-05-22,21283.369140625
2019-05-23,21151.140625
2019-05-24,21117.220703125
2019-05-27,21182.580078125
2019-05-28,21260.140625
2019-05-29,21003.369140625
2019-05-30,20942.529296875
2019-05-31,20601.189453125
2019-06-03,20410.880859375
2019-06-04,20408.5390625
2019-06-05,20776.099609375
2019-06-06,20774.0390625
2019-06-07,20884.7109375
2019-06-10,21134.419921875
2019-06-11,21204.279296875
2019-06-12,21129.720703125
2019-06-13,21032.0
2019-06-14,21116.890625
2019-06-17,21124.0
2019-06-18,20972.7109375
2019-06-19,21333.869140625
2019-06-20,21462.859375
2019-06-21,21258.640625
2019-06-24,21285.990234375
2019-06-25,21193.810546875
2019-06-26,21086.58984375
2019-06-27,21338.169921875
2019-06-28,21275.919921875
2019-07-01,21729.970703125
2019-07-02,21754.26953125
2019-07-03,21638.16015625
2019-07-04,21702.44921875
2019-07-05,21746.380859375
2019-07-08,21534.349609375
2019-07-09,21565.150390625
2019-07-10,21533.48046875
2019-07-11,21643.529296875
2019-07-12,21685.900390625
2019-07-16,21535.25
2019-07-17,21469.1796875
2019-07-18,21046.240234375
2019-07-19,21466.990234375
2019-07-22,21416.7890625
2019-07-23,21620.880859375
2019-07-24,21709.5703125
2019-07-25,21756.55078125
2019-07-26,21658.150390625
2019-07-29,21616.80078125
2019-07-30,21709.310546875
2019-07-31,21521.529296875
2019-08-01,21540.990234375
2019-08-02,21087.16015625
2019-08-05,20720.2890625
2019-08-06,20585.310546875
2019-08-07,20516.560546875
2019-08-08,20593.349609375
2019-08-09,20684.8203125
2019-08-13,20455.439453125
2019-08-14,20655.130859375
2019-08-15,20405.650390625
2019-08-16,20418.810546875
2019-08-19,20563.16015625
2019-08-20,20677.220703125
2019-08-21,20618.5703125
2019-08-22,20628.009765625
2019-08-23,20710.91015625
2019-08-26,20261.0390625
2019-08-27,20456.080078125
2019-08-28,20479.419921875
2019-08-29,20460.9296875
2019-08-30,20704.369140625
2019-09-02,20620.189453125
2019-09-03,20625.16015625
2019-09-04,20649.140625
2019-09-05,21085.939453125
2019-09-06,21199.5703125
2019-09-09,21318.419921875
2019-09-10,21392.099609375
2019-09-11,21597.759765625
2019-09-12,21759.609375
2019-09-13,21988.2890625
2019-09-17,22001.3203125
2019-09-18,21960.7109375
2019-09-19,22044.44921875
2019-09-20,22079.08984375
2019-09-24,22098.83984375
2019-09-25,22020.150390625
2019-09-26,22048.240234375
2019-09-27,21878.900390625
2019-09-30,21755.83984375
2019-10-01,21885.240234375
2019-10-02,21778.609375
2019-10-03,21341.740234375
2019-10-04,21410.19921875
2019-10-07,21375.25
2019-10-08,21587.779296875
2019-10-09,21456.380859375
2019-10-10,21551.98046875
2019-10-11,21798.869140625
2019-10-15,22207.2109375
2019-10-16,22472.919921875
2019-10-17,22451.859375
2019-10-18,22492.6796875
2019-10-21,22548.900390625
2019-10-23,22625.380859375
2019-10-24,22750.599609375
2019-10-25,22799.810546875
2019-10-28,22867.26953125
2019-10-29,22974.130859375
2019-10-30,22843.119140625
2019-10-31,22927.0390625
2019-11-01,22850.76953125
2019-11-05,23251.990234375
2019-11-06,23303.8203125
2019-11-07,23330.3203125
2019-11-08,23391.869140625
2019-11-11,23331.83984375
2019-11-12,23520.009765625
2019-11-13,23319.869140625
2019-11-14,23141.55078125
2019-11-15,23303.3203125
2019-11-18,23416.759765625
2019-11-19,23292.650390625
2019-11-20,23148.5703125
2019-11-21,23038.580078125
2019-11-22,23112.880859375
2019-11-25,23292.810546875
2019-11-26,23373.3203125
2019-11-27,23437.76953125
2019-11-28,23409.140625
2019-11-29,23293.91015625
2019-12-02,23529.5
2019-12-03,23379.810546875
2019-12-04,23135.23046875
2019-12-05,23300.08984375
2019-12-06,23354.400390625
2019-12-09,23430.69921875
2019-12-10,23410.189453125
2019-12-11,23391.859375
2019-12-12,23424.810546875
2019-12-13,24023.099609375
2019-12-16,23952.349609375
2019-12-17,24066.119140625
2019-12-18,23934.4296875
2019-12-19,23864.849609375
2019-12-20,23816.630859375
2019-12-23,23821.109375
2019-12-24,23830.580078125
2019-12-25,23782.869140625
2019-12-26,23924.919921875
2019-12-27,23837.720703125
2019-12-30,23656.619140625
2020-01-06,23204.859375
2020-01-07,23575.720703125
2020-01-08,23204.759765625
2020-01-09,23739.869140625
2020-01-10,23850.5703125
2020-01-14,24025.169921875
2020-01-15,23916.580078125
2020-01-16,23933.130859375
2020-01-17,24041.259765625
2020-01-20,24083.509765625
2020-01-21,23864.560546875
2020-01-22,24031.349609375
2020-01-23,23795.439453125
2020-01-24,23827.1796875
2020-01-27,23343.509765625
2020-01-28,23215.7109375
2020-01-29,23379.400390625
2020-01-30,22977.75
2020-01-31,23205.1796875
2020-02-03,22971.939453125
2020-02-04,23084.58984375
2020-02-05,23319.560546875
2020-02-06,23873.58984375
